System,aarch64b4,riscv64b1,riscv64b2,riscv64b2l2,riscv64b4,riscv64b4l2w,x86_64b6,
Task Clock (ms),30.050,1612.870,1622.130,2584.580,2060.220,2590.830,6.890,
CPU Utilized,0.951,0.987,0.984,0.985,0.987,0.989,0.957,
Context Switches,0,18,16,10,4,10,0,
Context Switches per Second,0,11.160,9.864,3.869,1.942,3.860,0,
CPU Migration,0,0,0,1,1,0,0,
CPU Migration Rate per Second,0,0,0,0.387,0.485,0,0,
Page Fault,172,180,180,177,183,178,202,
Page Fault Rate per Second,6000,111.602,110.965,68.483,88.825,68.704,29313,
CPU Cycle Counts,30300447,161282538,162252730,161534147,164848226,161925403,28048205,
CPU Frequency (GHz),1.008,0.100,0.100,0.062,0.080,0.062,4.070,
Instruction Counts,51973180,75978356,76056485,78024854,76679647,78055695,51818770,
Instructions per Cycle,1.720,0.470,0.470,0.480,0.470,0.480,1.850,
Cycles per Instruction,0.583,2.123,2.133,2.070,2.150,2.074,0.541,
Wall Clock Time,0.032,1.634,1.648,2.625,2.086,2.620,0.007,
User Space Time,0.028,1.570,1.581,2.546,1.982,2.543,0.007,
Kernel Space Time,0.004,0.064,0.064,0.068,0.108,0.076,0,
Average Power Consumption (mW),3239.705,5335.087,5445.490,5521.391,5583.452,5735.594,0,
